countryname,countrycode,co2,gdp,anio
Alemania                                                                        ,DEU ,1354782.9800000,12138.3081000,1980
Alemania                                                                        ,DEU ,1317791.8500000,10209.0731100,1981
Alemania                                                                        ,DEU ,1267150.2200000,9913.7376440,1982
Alemania                                                                        ,DEU ,1268455.7500000,9864.3449400,1983
Alemania                                                                        ,DEU ,1291691.5600000,9313.1694140,1984
Alemania                                                                        ,DEU ,1301253.1000000,9429.5692130,1985
Alemania                                                                        ,DEU ,1302264.9700000,13461.8310100,1986
Alemania                                                                        ,DEU ,1294253.9200000,16677.5107900,1987
Alemania                                                                        ,DEU ,1294253.9200000,17931.2823300,1988
Alemania                                                                        ,DEU ,1278982.3200000,17764.3764400,1989
Australia                                                                       ,AUS ,433837.4380000,10194.3187000,1980
Australia                                                                       ,AUS ,387882.4390000,11833.7432100,1981
Australia                                                                       ,AUS ,428739.9620000,12766.5222500,1982
Australia                                                                       ,AUS ,386673.5580000,11518.6685200,1983
Australia                                                                       ,AUS ,398135.5190000,12431.9458500,1984
Australia                                                                       ,AUS ,456717.6440000,11437.6644600,1985
Australia                                                                       ,AUS ,434735.1050000,11364.2394600,1986
Australia                                                                       ,AUS ,434706.1640000,11624.5395900,1987
Australia                                                                       ,AUS ,434706.1640000,14254.5575700,1988
Australia                                                                       ,AUS ,460970.0080000,17798.3142400,1989
Bangladesh                                                                      ,BGD ,115248.3810000,227.7519465,1980
Bangladesh                                                                      ,BGD ,116074.2380000,247.6496198,1981
Bangladesh                                                                      ,BGD ,117881.5590000,220.7188101,1982
Bangladesh                                                                      ,BGD ,112921.9330000,204.4176782,1983
Bangladesh                                                                      ,BGD ,118499.6860000,213.9966579,1984
Bangladesh                                                                      ,BGD ,118777.2480000,245.4539042,1985
Bangladesh                                                                      ,BGD ,121513.9830000,233.6580471,1986
Bangladesh                                                                      ,BGD ,122476.9310000,253.9744631,1987
Bangladesh                                                                      ,BGD ,122476.9310000,270.6996009,1988
Bangladesh                                                                      ,BGD ,126358.6380000,285.8292140,1989
Brasil                                                                          ,BRA ,1499555.5160000,1947.2764300,1980
Brasil                                                                          ,BRA ,1392080.6790000,2132.8833170,1981
Brasil                                                                          ,BRA ,1445809.2360000,2226.7672610,1982
Brasil                                                                          ,BRA ,1458951.5720000,1570.5397470,1983
Brasil                                                                          ,BRA ,1260054.2740000,1578.9264170,1984
Brasil                                                                          ,BRA ,1322535.3470000,1648.0821040,1985
Brasil                                                                          ,BRA ,1405162.3610000,1941.4911090,1986
Brasil                                                                          ,BRA ,1454114.8310000,2087.3076050,1987
Brasil                                                                          ,BRA ,1454114.8310000,2300.3768440,1988
Brasil                                                                          ,BRA ,1476408.9510000,2908.4961580,1989
China                                                                           ,CHN ,2757430.0900000,194.8047222,1980
China                                                                           ,CHN ,2724309.2370000,197.0714745,1981
China                                                                           ,CHN ,2815057.9370000,203.3349195,1982
China                                                                           ,CHN ,2950585.5910000,225.4319289,1983
China                                                                           ,CHN ,3135783.7470000,250.7139690,1984
China                                                                           ,CHN ,3142896.3740000,294.4588485,1985
China                                                                           ,CHN ,3282780.7870000,281.9281209,1986
China                                                                           ,CHN ,3680670.8470000,251.8119570,1987
China                                                                           ,CHN ,3680670.8470000,283.5376952,1988
China                                                                           ,CHN ,3800686.2100000,310.8819124,1989
España                                                                          ,ESP ,269540.1860000,6208.5780190,1980
España                                                                          ,ESP ,274923.5770000,5371.1664220,1981
España                                                                          ,ESP ,268301.7740000,5159.7086330,1982
España                                                                          ,ESP ,272032.2490000,4478.5002890,1983
España                                                                          ,ESP ,262132.7120000,4489.9889520,1984
España                                                                          ,ESP ,255905.0520000,4699.6557740,1985
España                                                                          ,ESP ,261037.1370000,6513.5032800,1986
España                                                                          ,ESP ,268265.7050000,8239.6138160,1987
España                                                                          ,ESP ,268265.7050000,9703.1238420,1988
España                                                                          ,ESP ,288737.8880000,10681.9712000,1989
